CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL2366580	106724	Ecdysone receptor	O76202, O77240	PROTEIN COMPLEX	Choristoneura fumiferana	1	1
CHEMBL3706564	109979	Liver X receptor	P55055, Q13133	PROTEIN FAMILY	Homo sapiens	109	272
CHEMBL2366579	106723	Ecdysone receptor	O45117, P49882	PROTEIN COMPLEX	Chironomus tentans	1	1
CHEMBL2366588	106732	Ecdysone receptor	Q8MWR1, Q8MWR2	PROTEIN COMPLEX	Spodoptera frugiperda	20	20
CHEMBL2269	11947	Retinoic acid receptor alpha	Q499N1	SINGLE PROTEIN	Rattus norvegicus	17	17
CHEMBL2129	10959	Peroxisome proliferator-activated receptor alpha	P37230	SINGLE PROTEIN	Rattus norvegicus	106	128
CHEMBL3144	13068	Glucocorticoid receptor	P06537	SINGLE PROTEIN	Mus musculus	72	140
CHEMBL2805	17089	Retinoid X receptor beta	P49743	SINGLE PROTEIN	Rattus norvegicus	17	17
CHEMBL2847	10872	Peroxisome proliferator-activated receptor alpha	Q95N78	SINGLE PROTEIN	Canis lupus familiaris	28	29
CHEMBL3413	10461	Ecdysone receptor	P49880	SINGLE PROTEIN	Aedes aegypti	36	102
CHEMBL4277	12391	Retinoid X receptor gamma	Q5BJR8	SINGLE PROTEIN	Rattus norvegicus	17	17
CHEMBL4374	100788	Photoreceptor-specific nuclear receptor	Q9Y5X4	SINGLE PROTEIN	Homo sapiens	482	502
CHEMBL5304	101150	Vitamin D3 receptor	A3RGC1	SINGLE PROTEIN	Sus scrofa	93	135
CHEMBL2095170	104755	Estrogen receptor	P49884, Q9XSB5	PROTEIN FAMILY	Bos taurus	396	627
CHEMBL1932903	104407	Peroxisome proliferator-activated receptor gamma	Q4U3Q4	SINGLE PROTEIN	Canis familiaris	1	1
CHEMBL3069	11087	Constitutive androstane receptor	O35627	SINGLE PROTEIN	Mus musculus	89	309
CHEMBL5676	102418	Ecdysone receptor	P34021	SINGLE PROTEIN	Drosophila melanogaster	19	19
CHEMBL2930	17090	Estrogen receptor alpha	P49884	SINGLE PROTEIN	Bos taurus	24	24
CHEMBL2363070	105765	Retinoid X receptor	P19793, P28702, P48443	PROTEIN FAMILY	Homo sapiens	26	31
CHEMBL2363071	105766	Retinoid receptor	P10276, P10826, P13631, P19793, P28702, P48443	PROTEIN FAMILY	Homo sapiens	0	0
CHEMBL2363072	105767	Retinoid X receptor gamma/retinoic acid receptor alpha	P10276, P48443	PROTEIN COMPLEX	Homo sapiens	0	0
CHEMBL4177	11403	Retinoic acid receptor gamma	P18911	SINGLE PROTEIN	Mus musculus	39	51
CHEMBL4666	100828	Steroidogenic factor 1	Q13285	SINGLE PROTEIN	Homo sapiens	332	381
CHEMBL3217403	108261	Nuclear receptor ROR-alpha	P51448	SINGLE PROTEIN	Mus musculus	4	4
CHEMBL2189152	105482	Oxysterols receptor LXR-alpha	Q9Z0Y9	SINGLE PROTEIN	Mus musculus	2	2
CHEMBL2366587	106731	Ecdysone receptor	Q6IVK1, Q6RVD3	PROTEIN COMPLEX	Plodia interpunctella	1	1
CHEMBL2366583	106727	Ecdysone receptor	Q4W6C8, Q4W6D0	PROTEIN COMPLEX	Leptinotarsa decemlineata	3	3
CHEMBL2366576	106720	Ecdysone receptor	B8RG26, Q4W6C8	PROTEIN COMPLEX	Anthonomus grandis	1	1
CHEMBL2366577	106721	Ecdysone receptor	A3EZJ4, A3EZJ5	PROTEIN COMPLEX	Bemisia tabaci	1	1
CHEMBL3885631	117175	Retinoic acid receptor RXR-alpha/Retinoic acid receptor beta	P10826, P19793	PROTEIN COMPLEX	Homo sapiens	11	11
CHEMBL2404	12164	Estrogen receptor beta	Q9XSB5	SINGLE PROTEIN	Bos taurus	11	11
